when,segmentLabel,segmentIndex,observer,station,species,count
2025-11-29T06:23:46.078Z,16:22:00 → 16:27:00,2,,A,PIP,1
2025-11-29T06:23:41.024Z,16:22:00 → 16:27:00,2,,A,PIP,2
2025-11-29T06:23:38.912Z,16:22:00 → 16:27:00,2,,A,PIP,9
2025-11-29T06:13:39.240Z,16:12:00 → 16:17:00,0,,A,PIP,13
2025-11-29T06:12:33.659Z,16:12:00 → 16:17:00,0,,A,PIP,6
2025-11-29T06:12:29.474Z,16:12:00 → 16:17:00,0,,A,PIP,3
2025-11-29T06:12:26.432Z,16:12:00 → 16:17:00,0,,A,PIP,1
2025-11-29T06:12:24.951Z,16:12:00 → 16:17:00,0,,A,PIP,2
2025-11-29T06:12:20.895Z,16:12:00 → 16:17:00,0,,A,PIP,6
2025-11-29T06:12:16.500Z,16:12:00 → 16:17:00,0,,A,PIP,7
2025-11-29T06:12:08.474Z,16:12:00 → 16:17:00,0,,A,PIP,4